State,Month and Year,Unemp Size
Hawaii,4/1/2019 0:00,17225
Idaho,4/1/2019 0:00,25898
Illinois,4/1/2019 0:00,234005
Indiana,4/1/2019 0:00,96412
Iowa,4/1/2019 0:00,42760
Kansas,4/1/2019 0:00,41220
Kentucky,4/1/2019 0:00,80609
Louisiana,4/1/2019 0:00,78569
Maine,4/1/2019 0:00,22976
Maryland,4/1/2019 0:00,103809
Massachusetts,4/1/2019 0:00,103672
Michigan,4/1/2019 0:00,179338
Minnesota,4/1/2019 0:00,94899
Mississippi,4/1/2019 0:00,60185
Missouri,4/1/2019 0:00,82667
Montana,4/1/2019 0:00,17703
Nebraska,4/1/2019 0:00,30397
Nevada,4/1/2019 0:00,59974
New Hampshire,4/1/2019 0:00,19243
New Jersey,4/1/2019 0:00,124804
New Mexico,4/1/2019 0:00,41959
New York,4/1/2019 0:00,342246
North Carolina,4/1/2019 0:00,178912
North Dakota,4/1/2019 0:00,9963
Ohio,4/1/2019 0:00,202345
Oklahoma,4/1/2019 0:00,50819
Oregon,4/1/2019 0:00,80230
Pennsylvania,4/1/2019 0:00,226869
Rhode Island,4/1/2019 0:00,17630
South Carolina,4/1/2019 0:00,60382
South Dakota,4/1/2019 0:00,15271
Tennessee,4/1/2019 0:00,96887
Texas,4/1/2019 0:00,417640
Utah,4/1/2019 0:00,42102
Vermont,4/1/2019 0:00,8649
Virginia,4/1/2019 0:00,106476
Washington,4/1/2019 0:00,160332
West Virginia,4/1/2019 0:00,35643
Wisconsin,4/1/2019 0:00,97631
Wyoming,4/1/2019 0:00,9980
Alabama,5/1/2019 0:00,55339
Alaska,5/1/2019 0:00,21029
Arizona,5/1/2019 0:00,161415
Arkansas,5/1/2019 0:00,45702
California,5/1/2019 0:00,694948
Colorado,5/1/2019 0:00,80659
Connecticut,5/1/2019 0:00,67905
Delaware,5/1/2019 0:00,16258
D.C.,5/1/2019 0:00,21301
Florida,5/1/2019 0:00,310611
Georgia,5/1/2019 0:00,168072
Hawaii,5/1/2019 0:00,17075
Idaho,5/1/2019 0:00,22733
Illinois,5/1/2019 0:00,222493
Indiana,5/1/2019 0:00,99835
Iowa,5/1/2019 0:00,41050
Kansas,5/1/2019 0:00,44053
Kentucky,5/1/2019 0:00,86279
Louisiana,5/1/2019 0:00,89769
Maine,5/1/2019 0:00,20644
Maryland,5/1/2019 0:00,111054
Massachusetts,5/1/2019 0:00,109174
Michigan,5/1/2019 0:00,184604
Minnesota,5/1/2019 0:00,83114
Mississippi,5/1/2019 0:00,67760
Missouri,5/1/2019 0:00,91760
Montana,5/1/2019 0:00,15197
Nebraska,5/1/2019 0:00,30785
Nevada,5/1/2019 0:00,59063
New Hampshire,5/1/2019 0:00,18515
New Jersey,5/1/2019 0:00,133039
New Mexico,5/1/2019 0:00,42160
New York,5/1/2019 0:00,345064
North Carolina,5/1/2019 0:00,196440
North Dakota,5/1/2019 0:00,8303
Ohio,5/1/2019 0:00,213510
Oklahoma,5/1/2019 0:00,58531
Oregon,5/1/2019 0:00,71990
Pennsylvania,5/1/2019 0:00,258627
Rhode Island,5/1/2019 0:00,18150
South Carolina,5/1/2019 0:00,64906
South Dakota,5/1/2019 0:00,14197
Tennessee,5/1/2019 0:00,104130
Texas,5/1/2019 0:00,435592
Utah,5/1/2019 0:00,41197
Vermont,5/1/2019 0:00,7493
Virginia,5/1/2019 0:00,118238
Washington,5/1/2019 0:00,158985
West Virginia,5/1/2019 0:00,35373
Wisconsin,5/1/2019 0:00,94828
Wyoming,5/1/2019 0:00,9616
Alabama,6/1/2019 0:00,73570
Alaska,6/1/2019 0:00,22261
Arizona,6/1/2019 0:00,178750
Arkansas,6/1/2019 0:00,52458
California,6/1/2019 0:00,794837
Colorado,6/1/2019 0:00,92508
Connecticut,6/1/2019 0:00,74192
Delaware,6/1/2019 0:00,19899
D.C.,6/1/2019 0:00,24062
Florida,6/1/2019 0:00,344231
Georgia,6/1/2019 0:00,193000
Hawaii,6/1/2019 0:00,22078
Idaho,6/1/2019 0:00,23779
Illinois,6/1/2019 0:00,267575
Indiana,6/1/2019 0:00,114185
Iowa,6/1/2019 0:00,48303
Kansas,6/1/2019 0:00,48792
Kentucky,6/1/2019 0:00,101143
Louisiana,6/1/2019 0:00,117592
Maine,6/1/2019 0:00,19348
Maryland,6/1/2019 0:00,126624
Massachusetts,6/1/2019 0:00,120601
Michigan,6/1/2019 0:00,212011
Minnesota,6/1/2019 0:00,101099
Mississippi,6/1/2019 0:00,83202
Missouri,6/1/2019 0:00,104362
Montana,6/1/2019 0:00,18106
Nebraska,6/1/2019 0:00,34683
Nevada,6/1/2019 0:00,63748
New Hampshire,6/1/2019 0:00,19442
