Year,Region,State,County,Total percentAvg pay,AverageWage,Management percent,Management pay,Business and financial operations percent,Business and financial operations pay,Computer and mathematical percent,Computer and mathematical pay,Architecture and engineering percent,Architecture and engineering pay,"Life, physical, and social science percent","Life, physical, and social science pay",Community and social service percent,Community and social service pay,Legal percent,Legal pay,"Education, training, and library percent","Education, training, and library pay","Arts, design, entertainment, sports, and media percent","Arts, design, entertainment, sports, and media pay",Healthcare practitioners and technical percent,Healthcare practitioners and technical pay,Healthcare support percent,Healthcare support pay,Protective service percent,Protective service pay,Food preparation and serving related percent,Food preparation and serving related pay,Building and grounds cleaning and maintenance percent,Building and grounds cleaning and maintenance pay,Personal care and service percent,Personal care and service pay,Sales and related percent,Sales and related pay,Office and administrative support percent,Office and administrative support pay,"Farming, fishing, and forestry percent","Farming, fishing, and forestry pay",Construction and extraction percent,Construction and extraction pay,"Installation, maintenance, and repair percent","Installation, maintenance, and repair pay",Production percent,Production pay,Transportation and material moving percent,Transportation and material moving pay
May 2019,southeast,Florida,Jacksonville,100,23.21,5.3,50.81,6.4,32.11,2.7,37.13,1.4,38.41,0.4,32.38,1.3,20.15,0.9,46.49,4.6,26.53,1,23.85,6.6,39.06,3.5,14.99,2.5,18.95,9.8,11.97,3.1,13.33,1.9,14.54,10.1,18.91,16.1,18.65,,17.21,4.7,20.03,4.5,22.13,3.8,17.92,9.6,17.96
May 2020,southeast,Florida,Jacksonville,100,24.01,5.2,52.46,6.9,32.97,2.8,37.7,1.7,39.47,0.4,31.62,1.3,20.61,0.9,46,4.6,25.19,1,24.11,7,39.32,3.4,15.7,2.6,19.87,8.7,12.03,3,13.93,1.7,14.58,10,20.1,15.8,19.1,0.1,15.81,5,20.19,4.4,23.25,3.7,18.34,9.8,18.35
May 2020,southeast,Tennessee,Johnson City,100,21.43,4.9,45.17,4.1,27.92,1.5,34.77,1.1,35.5,0.7,36.85,1.7,20.48,0.2,,7,26.66,0.6,22.96,10.5,37.58,4.4,15.15,1.6,20.97,10,10.48,2.4,12.62,2.3,11.95,9.5,16.03,16.6,16.62,,12.94,2.8,19.02,3.2,20.64,7.8,17.05,7.1,15.32
May 2020,southeast,Tennessee,Kingsport,100,21.92,5.3,48.03,3.8,32.1,1.8,35.92,2,43.37,1,35.53,1.6,19.13,0.5,42.17,5.9,22.76,0.8,23.49,7.7,32.52,4.3,14.05,1.8,19.79,9.9,10.47,2.4,12.87,1.2,12.73,9.8,16.64,12.9,17.48,0.1,17.51,3.9,19.76,5.1,22.83,9.6,21.11,8.8,16.4
May 2018,southeast,Tennessee,Knoxville,100,21.7,6,47.62,4.2,31.28,2.2,34.46,2.3,42.5,0.9,34.86,1.1,19.54,0.6,41.26,5,23.54,1,23.38,6.6,32.53,2.5,14.52,2,20.47,9.3,10.27,3.6,12.21,2.9,11.57,11.2,16.79,16.7,17.26,0.1,16.15,3.5,20.61,4.3,21.46,6.8,19.15,7.2,16.78
May 2019,southeast,Tennessee,Knoxville,100,21.85,6.4,46.96,4.1,31.09,2.2,34.26,2,39.82,0.9,33.11,1.3,20.04,0.6,40.33,5.1,24.33,1.1,23.76,6.7,33.7,3.4,13.97,1.9,19.21,9.4,10.97,3.7,12.33,2,12.57,10,17.86,15.2,17.63,0.1,15.47,3.5,19.95,4.3,21.57,7.3,18.67,9,16.11
May 2020,southeast,Tennessee,Knoxville,100,22.95,6.6,49.01,4.7,33.39,2.6,35.99,2.1,43.29,1.3,40.83,1.3,20.72,0.6,39.85,4.8,24.86,1,26.11,6.8,32.86,3.6,14.31,2,20.61,8.8,11.19,3.3,12.97,1.9,12.87,9,18.52,15.4,18.11,0.1,15.64,3.9,21.47,4,22.3,6.8,18.68,9.3,16.52
May 2019,southeast,Florida,Lakeland,100,20.75,4.3,46.81,4.7,30.37,1.2,33.33,0.9,31.95,0.5,29.68,1,20.86,,38.56,5.7,22.18,0.8,21.46,5.2,36.58,3.2,14.41,2.3,20.72,9,11.3,3.2,12.58,1.6,13.06,10.9,18.62,14.8,17.45,0.4,13.72,4.9,19.43,5.1,21.31,5.6,18.05,13.6,16.61
May 2020,southeast,Florida,Lakeland,100,21.84,4.3,47.9,5,31.48,1.3,34.38,1,32.98,0.5,29.16,1,21.22,,40.05,5.5,22.39,0.6,22.97,5.3,38.73,3,15.02,2,20.67,7.8,11.64,3.2,13.48,1.4,13.77,10.8,20.14,14.1,18.21,0.3,13.92,5.2,19.76,4.9,22.99,5.6,19,,17.8
May 2018,southeast,Kentucky,Lexington,100,21.59,5,46.44,3.9,30.85,1.7,34.35,1.9,36.41,0.6,27.57,1.3,20.85,0.5,45.64,4.8,25.29,1.3,22.95,7.5,35.92,3.1,15.28,2.2,17.11,9.7,10.4,2.9,13.3,2.8,12.52,9.4,17.1,16.3,16.28,0.6,13.95,3.4,22.86,4,22.78,10.1,21.19,7.1,16.58
May 2019,southeast,Kentucky,Lexington,100,21.84,5,47.27,4.2,31.93,1.8,35.08,1.8,36.4,0.9,27.61,1.3,21.37,,46.04,4.8,24.97,1.2,23.44,7.1,34.1,3.7,15.17,2.5,17.41,9.8,11.17,2.8,14.11,2,12.76,9.5,17.55,14.8,17.34,0.6,14.8,3.4,22.96,4.2,22.61,8.8,20.71,9,16.36
May 2020,southeast,Kentucky,Lexington,100,23.15,5.2,49.93,4.6,32.94,2.2,35.75,2,37.03,1.4,28.15,1.7,21.81,,45.39,4.9,24.51,1.3,25.94,7.6,34.03,3.8,15.43,2.4,18.6,8.6,11.42,2.6,14.44,1.8,13.52,9,18.78,14,18.69,0.7,14.85,3.5,23.48,4.1,23.58,8.1,21.44,9.8,17.7
May 2020,southeast,Kentucky,Louisville,100,23.66,4.8,50.68,5.2,33.92,2.9,38.49,1.5,35.89,0.6,32.58,1.4,22.43,0.6,45.84,4,24.41,1,23.35,6.7,34.51,3.6,15.8,1.8,17.95,7.8,11.76,2.4,14.24,1.9,14.38,8.6,20.35,14.4,18.92,0.1,16.08,3.6,24.83,4.2,24.14,9.5,20.7,13.7,20.49
