Year,Region,State,County,Total percentAvg pay,AverageWage,Management percent,Management pay,Business and financial operations percent,Business and financial operations pay,Computer and mathematical percent,Computer and mathematical pay,Architecture and engineering percent,Architecture and engineering pay,"Life, physical, and social science percent","Life, physical, and social science pay",Community and social service percent,Community and social service pay,Legal percent,Legal pay,"Education, training, and library percent","Education, training, and library pay","Arts, design, entertainment, sports, and media percent","Arts, design, entertainment, sports, and media pay",Healthcare practitioners and technical percent,Healthcare practitioners and technical pay,Healthcare support percent,Healthcare support pay,Protective service percent,Protective service pay,Food preparation and serving related percent,Food preparation and serving related pay,Building and grounds cleaning and maintenance percent,Building and grounds cleaning and maintenance pay,Personal care and service percent,Personal care and service pay,Sales and related percent,Sales and related pay,Office and administrative support percent,Office and administrative support pay,"Farming, fishing, and forestry percent","Farming, fishing, and forestry pay",Construction and extraction percent,Construction and extraction pay,"Installation, maintenance, and repair percent","Installation, maintenance, and repair pay",Production percent,Production pay,Transportation and material moving percent,Transportation and material moving pay
May 2018,mid-atlantic,Pennsylvania,Allentown,100,22.87,3.8,57.09,3.5,35.45,1.8,37.31,2,38.84,0.6,34.05,1.5,22.87,0.4,36.39,6.2,30.1,1,23.81,7.4,36.28,3.6,15.93,1.9,20.93,8.7,11.77,3,14.67,4.1,12.71,9,18.74,16,17.8,0,17.73,3,24.89,4,23.6,7.1,19.64,11.5,17.33
May 2019,mid-atlantic,Pennsylvania,Allentown,100,23.23,4.1,56.12,3.7,35.51,1.9,38,1.6,38.46,0.7,31.8,1.6,23.19,0.4,37.02,6.1,30.28,0.9,24.35,7.1,37.59,5.3,15.06,1.8,22.63,8.7,12.18,3.1,15.75,2.7,13.31,8.7,18.6,14.1,18.88,,16.59,3,25.11,4,24.43,7.2,19.8,13.4,17.25
May 2020,mid-atlantic,Pennsylvania,Allentown,100,24.66,4.4,57.1,4,37.08,2,39.71,1.6,41.11,0.7,33.21,1.7,23.42,0.4,48.09,6,30.84,1,25.31,7.6,39.36,5.2,15.35,1.9,23.19,7.2,12.81,3,16.6,2.3,13.96,8.6,20.83,13.8,19.61,0.1,17.82,2.9,25.9,4.1,25.41,7.5,20.72,14.2,17.87
May 2018,mid-atlantic,Maryland,Baltimore,100,27.76,5.8,61.68,6.3,38.26,4.7,48.8,2.2,44.61,1.1,37.64,1.7,24.64,1.1,43.38,6.3,32.56,1.2,26.99,6.8,40.34,2.9,16.38,3,23.93,8.1,12.19,3,14.52,3.2,14.6,9.5,21.23,15.2,19.9,0.1,15.45,4.3,24.04,3.7,24.55,3.2,19.62,6.6,19.94
May 2019,mid-atlantic,Maryland,Baltimore,100,28.49,6,61.31,6.6,38.76,5,49.92,2.1,46.31,1.2,38.81,1.6,25.28,1.1,46.9,6.2,33.15,1.2,27.78,6.7,40.51,3.6,15.83,3,24.89,8,13.06,3,14.89,2.7,16.01,9.5,21.66,13.2,21.19,0.1,16.68,4.4,24.6,3.6,24.94,3,20.66,8.1,19.02
May 2020,mid-atlantic,Maryland,Baltimore,100,30.05,6.1,61.95,7.3,40.66,5.5,50.97,2.1,47.05,1.4,39.57,1.7,25.39,1.1,50.27,5.6,36.35,1.2,28.71,6.9,42.32,3.8,16.16,3,26.43,6.8,13.55,3,15.66,2.1,16.7,9,23.54,13.3,21.72,0.1,17.55,4.7,24.99,3.6,26.14,3.1,21.99,8.8,19.77
May 2018,mid-atlantic,West Virginia,Charleston,100,21.48,5.3,41.66,4.5,28.34,2.4,30.2,1.6,34.55,1.2,26.98,1.9,19.95,1.5,37.15,4.5,20.68,0.9,23.27,9,35.13,2.6,13.53,2.9,16.49,7.7,11.14,2.8,12.16,3.5,10.93,9.1,16.42,18.3,16.7,0.1,15.18,5,23.29,4.9,21.06,3.6,21.53,6.6,17.72
May 2019,mid-atlantic,West Virginia,Charleston,100,21.96,5.3,43.78,5,27.88,2.8,29.68,1.5,34.91,1.3,28.76,1.7,20.16,1.5,38.94,4.4,21.19,1,25.2,8.8,36.7,4.9,12.44,4,15.3,7.5,11.37,2.8,12.19,1.6,12.23,8.6,16.84,17,17.47,0.1,14.63,5.2,23.42,4.6,21.08,3.3,21.04,7.2,17.48
May 2020,mid-atlantic,West Virginia,Charleston,100,23.31,5.9,47.25,5.4,29.83,2.6,30.07,1.6,35.65,1.3,29.67,2,19.93,1.8,43.07,5,21.8,1,20.93,9.1,37.89,5.2,12.96,2.9,17.53,7.1,11.68,3,12.89,1.3,13.27,8.6,17.82,16.9,18.13,,16.31,4.8,23.46,4.7,21.82,3.3,21.96,6.5,18.6
May 2018,mid-atlantic,Pennsylvania,Erie,100,19.94,3.6,49.69,3.4,28.73,1.2,33.42,1.2,31.22,0.3,28.88,2,19.96,0.3,41.5,5.9,24.81,1.2,20.28,7.4,34.81,3.8,14.44,2,23.97,10.2,11.05,3.3,11.97,6.3,11.99,9.8,15.68,14.6,16.42,0,19.52,3,23.22,3.7,20.86,11.2,17.15,5.6,15.75
May 2019,mid-atlantic,Pennsylvania,Erie,100,20.52,3.8,49.13,3.4,30.35,1.4,34.3,1.4,31.41,0.3,30.72,2,19.9,0.3,46.86,6,25.1,0.9,21.62,7.5,35.53,7.2,13.84,1.8,25.34,10.2,11.36,3.2,12.48,2.9,12.21,9.6,15.99,12.8,17.43,0,19.13,3.2,23.01,3.5,20.82,11.4,17.3,7.1,15.86
May 2020,mid-atlantic,Pennsylvania,Erie,100,21.65,4,49.63,3.5,31.72,1.5,36.01,1.4,33.09,0.6,33.18,2.1,20.66,0.4,46.42,6.3,26.38,0.9,23.83,7.8,37.17,8.9,13.87,2,25.82,8.8,11.92,2.8,13.37,1.9,12.94,9.3,16.97,12.4,18.06,,20.92,3.2,23.6,3.5,21.74,11.8,17.89,7,16.34
May 2018,mid-atlantic,Pennsylvania,Harrisburg,100,23.82,4.4,55.64,6.7,33.07,3.5,39.19,1.6,37.17,0.7,33.13,1.7,23.88,1,43.58,5.5,27.27,0.9,25.46,6.5,36.65,2.9,15.22,2.3,23.11,8.1,11.35,2.5,12.65,3.8,12.34,8.8,20.45,17.3,18.73,0.1,18.35,2.7,23.67,3.8,22.95,4.2,18.52,11,18.12
May 2019,mid-atlantic,Pennsylvania,Harrisburg,100,24.26,4.6,55.39,6.9,33.53,3.5,39.73,1.5,37,0.9,32.31,1.8,24.55,0.9,42.55,5.2,27.89,1.1,25.19,6.6,37.64,4.5,14.55,2,24.44,8,11.62,2.6,13.55,2.3,13.46,8.8,19.93,15.2,19.55,0.1,19.2,3,23.78,3.6,23.84,4.2,19.04,12.7,17.85
May 2020,mid-atlantic,Pennsylvania,Harrisburg,100,25.34,5,57.63,7.1,34.63,3.7,39.83,1.5,37.01,0.8,33.84,1.7,25.49,1,43.52,5,29.64,1.1,26.88,6.9,37.47,5.1,14.79,2,25.74,6.6,11.98,2.6,14.09,1.9,14.43,8.1,21.18,15.3,20.1,0.1,19.79,3,24.58,3.5,25.03,4.4,19.62,13.5,18.09
May 2018,mid-atlantic,Pennsylvania,Philadelphia,100,27.01,4.9,67.88,6.1,39.08,3.5,44.14,1.7,43.37,1.1,41.37,2,23.09,1.1,54.52,6.4,30.26,1.1,27.45,6.9,41.03,3.6,15.41,2.5,22.77,8.3,12.53,2.8,15.32,4.5,13.5,9.7,22.26,16.3,19.8,0.1,15.41,3.1,29.36,3.4,25.23,4.2,20.44,6.8,18.02
May 2019,mid-atlantic,Pennsylvania,Philadelphia,100,27.69,5.1,68.13,6.3,39.88,3.5,45.26,1.7,44.13,1.1,42.33,1.9,24.11,1.1,56.89,6.5,30.55,1.2,28.24,6.8,41.87,5.9,14.54,2.5,23.76,8.3,12.89,2.9,15.91,2.6,14.78,9.3,22.91,14.5,20.97,0.1,16.01,3.1,30.12,3.4,25.97,4.1,20.82,8.2,17.56
May 2020,mid-atlantic,Pennsylvania,Philadelphia,100,29.04,5.5,69.34,6.8,41,3.7,46.47,1.7,44.59,1.1,42,1.9,25.04,1.1,56.73,6.7,30.89,1.2,28.96,7,42.7,6.5,14.71,2.5,25.24,6.9,13.54,2.8,16.38,2,15.63,8.7,24.51,14.6,21.71,0.1,16.33,3.3,30.55,3.4,27.4,4.2,21.71,8.4,18.47
May 2018,mid-atlantic,Pennsylvania,Pittsburgh,100,24.07,4.5,59.01,4.9,35.23,3.4,39.27,2.3,38.8,0.7,32.08,1.8,21.33,0.8,48.27,5.3,30.11,1.2,23.41,7.7,32.86,3.1,15.19,2.1,20.8,9.2,11.65,2.6,13.75,4.7,12.59,9.6,19.6,15.9,18.12,0,15.38,4.6,25.97,4.1,23.85,5.3,19.96,6.4,17.98
May 2019,mid-atlantic,Pennsylvania,Pittsburgh,100,24.79,4.8,58.65,5.2,35.98,3.3,39.69,2.2,38.68,0.8,32.36,1.8,22.25,0.8,49.68,5.4,31.31,1.1,24.32,7.6,33.39,5.5,14.37,2.1,21.56,9,12.19,2.6,14.46,2.6,13.32,9.3,20.22,14.3,19.11,0.1,17.82,4.7,26.58,4.1,24.62,5.2,20.4,7.6,18.07
May 2020,mid-atlantic,Pennsylvania,Pittsburgh,100,26.11,5,60.82,5.7,37.18,3.4,39.93,2.2,40.24,1,32.13,1.9,22.91,0.9,45.73,5.4,33.6,1.1,26.05,8.2,34.75,5.7,14.63,2.2,22.04,7.8,12.73,2.5,15.12,2.1,13.9,9,21.68,14.3,19.65,0.1,17.81,4.6,26.36,4.1,25.67,5.2,21.26,7.9,18.99
May 2018,mid-atlantic,Virginia,Richmond,100,24.68,4,63.8,7.3,36.68,3.8,43.1,1.3,39.91,0.8,32.17,1.9,22.84,1,49.43,5.8,25.61,1.2,25.85,6.6,39.17,2.7,15.02,2.7,20.84,8.4,11.25,3.2,12.78,3.3,13.11,10.5,20.14,15.5,18.62,0.1,19.48,4.3,21.51,4.1,24.32,4.5,18.41,7,16.81
May 2019,mid-atlantic,Virginia,Richmond,100,25.3,4.3,62.64,7.6,37.49,3.6,44.17,1.4,41.03,0.9,33.31,2,22.97,1,48.09,5.6,26.05,1.3,26.23,6.4,41.25,3.8,13.92,2.8,21.2,8.1,11.53,3,13.48,2.3,14.87,10.3,20.34,14,19.54,0.1,18.12,4.6,21.77,4.1,24.71,4.4,19.32,8.6,16.55
May 2020,mid-atlantic,Virginia,Richmond,100,26.74,4.6,62.54,8.2,38.43,3.8,45.65,1.4,42.15,0.9,34.16,2.1,24.13,1.1,48.23,5.7,28.6,1.3,28.93,6.5,42.6,4,14.32,2.8,22,7,12.07,3.1,14.11,1.8,14.97,10.3,21.62,13.9,20.26,0.1,17.02,4.6,22.8,4,25.81,4,20.82,8.8,17.44
May 2018,mid-atlantic,Virginia,Roanoke,100,21.24,3.2,51.06,5.1,31.42,1.5,36.94,1.3,34.7,0.5,31.96,1.7,21.85,0.7,35.19,5.4,21.73,0.9,22.65,8.2,38.89,3.3,14.87,3.1,18.39,8.6,10.52,2.9,12.16,2.9,12.13,9.8,18.84,16.2,16.83,0.1,14.93,4.3,18.76,4.4,21.13,7.8,17.19,8.2,16.65
May 2019,mid-atlantic,Virginia,Roanoke,100,22,3.5,51.88,5.1,32.33,1.8,38.2,1.4,37.02,0.6,33.55,1.7,22.17,0.7,35.32,5.3,22.68,0.9,25.61,8.2,39.77,4.4,13.55,3.1,18.95,8.7,10.95,2.9,12.74,2.3,13.33,9.6,18.93,13.5,17.94,0.1,15.91,4.1,18.87,4.4,21.96,7.7,18.23,10,16.23
May 2020,mid-atlantic,Virginia,Roanoke,100,23.32,3.8,53.58,5.4,32.58,1.8,37.82,1.4,38.2,0.6,35.24,1.7,23.28,0.7,33.05,5.3,29.08,0.9,25.84,8.5,41.02,4.6,13.89,2.7,20.45,7.9,11.47,3,13.38,2.1,13.98,9,20.02,13.3,18.23,0.1,17.49,4.6,19.63,4.7,22.51,7.5,18.76,10.3,17.37
May 2018,mid-atlantic,Pennsylvania,Scranton,100,20.68,3.5,51.36,3.3,30.92,1.4,32.6,1.2,35.5,0.4,34.66,1.9,20.47,0.5,33.98,5.3,27.1,0.8,20.53,7,32.82,3.1,15.51,2.1,23.45,8.6,11.38,2.8,13.37,3.9,12.21,9.5,16.46,16.9,16.89,0.1,17.38,3.3,23.71,4,21.44,8.8,18.09,11.8,16.86
May 2019,mid-atlantic,Pennsylvania,Scranton,100,21.24,3.5,51.17,3.3,30.62,1.4,33.95,1.2,36.53,0.4,32,1.9,21.68,0.5,35.99,5.3,28.7,0.7,21.88,6.9,35.49,5.5,14.27,2.3,23.21,8.6,11.25,2.8,13.8,2,12.75,9.3,17.52,14.5,17.79,0.1,17.79,3.2,24.24,4.3,21.45,8.7,18.28,13.6,16.62
May 2020,mid-atlantic,Pennsylvania,Scranton,100,22.23,3.6,51.64,3.7,32.23,1.5,34.24,1.3,37.75,0.6,29.31,1.9,22.43,0.5,36.85,5.3,29.15,0.9,22.7,7,36.55,5.8,14.55,2.2,24.6,7.3,11.62,2.8,14.87,1.7,13.6,8.6,18.37,14.7,18.7,0.1,18.73,3.4,25.12,4.4,22.56,8.3,18.99,14.3,17.18
May 2018,mid-atlantic,Virginia,Virginia Beach,100,23.29,3.5,57.43,5.7,36.25,2.8,40.91,2.9,39.84,0.8,34.22,1.6,24.03,0.6,39.68,6,27.81,1.2,24.68,5.9,37.36,2.9,15.8,2.7,21.32,9.8,11.39,3.3,12.47,3.6,12.25,10.7,17.01,15,17.74,0.1,16.46,5,21.88,4.7,23.69,4.7,19.97,6.6,18.18
May 2019,mid-atlantic,Virginia,Virginia Beach,100,23.86,3.9,56.39,6,36.35,2.9,41.79,2.9,40.18,0.9,35.38,1.5,24.22,0.6,42.36,6,28.24,1.3,26.72,5.9,37.94,3.9,14.44,2.8,21.78,9.5,11.54,3.2,12.7,2.7,13.39,9.8,17.55,12.8,18.5,0.1,17.32,5.2,22.57,4.8,23.69,4.9,20.14,8.4,17.31
May 2020,mid-atlantic,Virginia,Virginia Beach,100,25.08,4.1,56.67,6.4,37.66,3.4,44.25,3,42.13,0.9,37.51,1.6,24.43,0.6,43.48,6.1,27.81,1.3,28.5,6.2,38.48,4,14.02,2.6,23.43,8.7,12.16,3,14,2.3,13.65,9.5,18.27,12.7,19.1,0.1,18.03,5.4,22.91,4.9,24.84,4.9,21.01,8.5,18.12
May 2018,mid-atlantic,District of Columbia,Washington,100,34.12,7.8,72.1,9.9,45.57,7.4,51.81,2,50.3,2,51.24,1.3,29.25,2.2,69.97,6.3,31.33,2.3,39.24,4.9,46.31,2.2,16.93,2.8,28.47,8.3,14,3.4,15.58,3.1,15.18,8.7,22.23,12.7,21.96,0.1,19.22,3.6,24.92,3.2,27.02,1.7,20.5,4.2,20.57
May 2019,mid-atlantic,District of Columbia,Washington,100,34.9,8,72.53,10.2,46.13,7.6,52.23,2,51.1,2,51.57,1.4,29.45,2.2,69.87,6.4,32.34,2.3,40.87,4.7,46.77,2.9,16.51,2.9,28.69,8.1,14.63,3.2,16.36,2.5,16.33,8.6,22.68,11.3,23.21,0.1,19.83,3.7,25.52,3,27.62,1.7,21.03,5.3,19.78
May 2020,mid-atlantic,District of Columbia,Washington,100,37.12,8.4,74.7,11.1,47.34,8,53.98,2.1,52.22,2.1,52.76,1.5,30.71,2.3,72.48,6.3,34.33,2.4,42.36,4.8,48.77,3,16.87,2.8,30.45,6.6,15.18,3.2,17.29,2.1,17.05,8,25.02,11.5,23.96,0.1,20.28,3.8,26.3,3,28.63,1.7,21.83,5.4,21.08
May 2018,mid-atlantic,Pennsylvania,York,100,22.56,4.1,56.06,3.9,34.78,1.4,37.91,2.8,35.89,0.5,33.28,1.4,21.91,0.4,40.96,5.6,25.48,0.6,22.7,6.3,37.52,2.7,16.32,1.6,22.49,8.1,11.44,2.8,13.32,2.8,12.41,9.9,17.77,14,17.65,0.1,15.34,4.5,23.76,5.3,23.39,10.2,18.91,10.9,17.05
May 2019,mid-atlantic,Pennsylvania,York,100,23.21,4.2,55.2,4.3,35.17,1.6,37.88,2.9,36.39,0.6,33.16,1.5,21.2,0.4,40.35,5.3,28.26,0.7,23.67,5.8,39.92,4.4,15.33,1.5,22.4,8.1,11.71,2.5,14.29,1.9,12.65,9.9,18.52,12,18.72,0.1,16.53,4.3,24.78,4.9,23.3,10.6,19.88,12.8,16.93
May 2020,mid-atlantic,Pennsylvania,York,100,24.21,4.2,56.48,4.6,36.59,1.6,38.3,2.6,38,0.6,31.48,1.6,21.1,0.4,35.78,5,29.05,0.6,23.98,6.2,42.2,4.7,15.46,1.4,23.99,7.3,12.19,2.3,14.88,1.7,13.62,9.6,18.91,12,19.46,0.1,17.28,4.4,25.65,5,24.78,10.9,20.97,13.2,17.71
May 2019,midwest,Ohio,Akron,100,23.75,5,54.31,5.2,33.7,2.8,37.28,2.1,39.21,0.7,31.57,1.5,23.26,0.7,44.75,5.7,28.78,1,23.03,6.8,37.26,4.3,14.49,1.7,23.4,9.5,11.4,3.1,13.97,2.3,13.14,9.6,20.24,13.9,18.91,,14.79,3.3,26.69,3.8,21.91,8.5,18.81,8.4,16.56
May 2020,midwest,Ohio,Akron,100,24.62,5.1,54.95,5.5,33.94,2.8,39.06,2.1,39.57,0.8,32.78,1.6,23.59,0.7,45.18,5.8,28.79,1,24.53,7.3,36.64,4,15.3,1.8,24.87,8.5,11.51,3,14.73,1.9,13.75,9,21.48,13.9,19.55,,15.68,3.3,27.49,4,22.75,8.6,19.35,9.2,17.09
May 2019,midwest,Iowa,Ames,100,24.63,6.3,49.15,5.5,30.93,3.7,36.67,2,35.65,2.7,31.35,1.1,22.07,0.3,30.22,9.6,34.71,1.2,24.43,5,35.05,3.5,15.36,1.3,25.97,10.5,11.49,3.8,14.12,2.6,13.76,8.8,19.27,10.3,19.06,0.3,15.83,3.9,23.7,3.8,25.06,8.5,19.99,5.4,17.78
May 2020,midwest,Iowa,Ames,100,24.75,6,48.7,5.6,31.31,3.6,36.6,1.5,36.28,3,32.01,1.1,22.36,,36.98,9,35.65,1.3,25.5,5,35.74,3.5,15.85,,25.48,8.9,11.94,3.1,14.47,3.3,13.08,8.7,18.85,10.2,19.51,0.3,15.77,4.6,24.42,3.9,25.1,10.3,19.06,5.8,17.88
May 2019,midwest,Michigan,Ann Arbor,100,27.1,5.2,60.99,5.3,35.43,3.9,36.71,3,42.2,2.4,29.76,1.5,25.03,0.5,38.79,11.2,27.94,2.1,25.55,10.7,41.45,4.7,15.97,1.4,22.4,8.5,12.7,2.8,15.72,2.7,13.67,6.5,22.12,12.1,18.94,0.1,15.71,2.4,28.55,2.8,24.55,5.8,19.14,4.6,17.53
May 2020,midwest,Michigan,Ann Arbor,100,28.46,5.4,61.42,6,36.3,4.4,37.1,3.3,43.3,1.9,33.51,2.1,22.6,0.5,42,12.6,28.72,1.7,29.24,11.1,41.02,4.9,16.35,1.2,24.7,6.5,13.18,2.6,16.32,2.9,13.73,6.6,22.65,11.6,19.65,0.1,18.79,2.2,28.94,2.7,27.13,4.9,20.42,4.9,18.7
May 2019,midwest,Wisconsin,Appleton,100,22.82,3.7,52.38,4.7,31.8,2.2,36.75,2.2,35.95,0.4,30.69,1.1,20.65,0.4,43.49,5.4,24.99,1,20.35,4.8,38.83,3.4,15.04,1.3,20.2,8.5,11.76,2.3,15.08,2.2,13.96,10.7,20.34,13.3,18.65,,18.04,5.5,25.9,4.6,23.51,13.8,20.45,8.5,16.89
May 2020,midwest,Wisconsin,Appleton,100,23.6,3.5,54.42,5.2,32.39,2.2,36.84,1.9,36.24,0.4,32.45,1.1,19.99,0.4,43.14,5.2,23.81,0.9,20.42,5.1,39.48,4,14.98,1.3,21.45,7.1,11.85,2.3,15.37,1.5,14.95,10.2,21.98,13.6,19.22,,18.38,5.9,26.76,5.1,26.4,14.2,20.78,8.8,17.57
May 2019,midwest,Michigan,Battle Creek,100,23.32,5,52.83,5.1,34.71,1.4,39.96,1.8,37.9,0.6,,2.3,22.92,0.3,45.59,4.9,23.28,0.7,22.76,7.6,36.92,5.7,14.54,1.9,23.69,8.7,12.71,2.9,14.36,2.7,15.64,8,17.88,11.6,18.72,,,3.2,25.2,4.8,24.69,14.7,19.4,6.2,16.49
May 2020,midwest,Michigan,Battle Creek,100,24.35,5.4,53.78,5.8,35.79,1.4,41.23,1.8,39.89,0.7,,2.1,25.38,0.3,47.79,4.8,24.8,0.9,24.31,7.7,37.07,6.3,14.74,1.7,23.6,7.7,13.04,2.7,14.94,2.1,15.82,8.9,19.05,11.4,19.6,,,3,25.11,4.4,26.87,14.7,19.64,6.3,17.06
May 2019,midwest,Michigan,Bay City,100,21.11,4,47.39,3.1,31.36,,,1.6,37.95,0.5,31.66,2.4,19.89,0.3,34.39,5.4,24.16,1.2,16.82,7,34.99,7.2,13.72,1.1,24.26,12,11.71,2.4,14.05,1.5,14.46,12.5,16.73,11.8,17.23,,14.48,3.5,23.75,4.3,22.04,7.8,21.29,8,16.15
May 2020,midwest,Michigan,Bay City,100,22.42,4.2,49.3,4,33.93,1,31.08,1.6,37.48,,,2.3,21.85,0.4,40.46,5.8,24.77,1.2,16.99,7.2,36.48,7,14.23,1.3,24.35,10.8,12.5,2.7,14.9,1.5,15.8,11.4,17.84,12.3,18.37,,14.99,3.9,24.34,4.3,23.01,7.3,24.09,7.8,16.52
May 2019,midwest,North Dakota,Bismarck,100,24.73,5.4,46.5,5.2,33.82,2.2,32.03,2.1,38.21,1.2,32.02,2.1,25.26,1,42.15,5.9,27.12,1.7,21.41,7.9,37.5,5.1,17.07,2.2,22.81,8.7,12.99,3.6,16.65,3.5,14.74,9.9,19.89,12.8,19.66,0.2,17.58,5,26.49,4.8,26.03,3.1,21.5,6.4,20.58
May 2020,midwest,North Dakota,Bismarck,100,25.44,5.3,48.27,5.9,34.72,1.8,34.48,2.1,38.26,1.3,32.15,2,27.4,0.9,45.61,5.7,26.92,1.6,22.15,8.5,37.45,5.4,17.47,2.4,22.94,8.4,13.06,3.5,17.1,3.4,14.5,9.9,20.84,13,20.38,0.1,17.76,5,26.51,4.9,26.69,2.9,22.45,5.9,21.05
May 2018,midwest,Illinois,Bloomington,100,25.64,8.4,49.87,10,34.3,5.3,41.64,0.7,40.6,0.5,32.67,1.2,22.9,,,7.2,26.18,1.5,24.07,4.8,43.71,2,15.54,2,22.33,10.8,11.19,3.4,14.56,2,14.28,8.8,17.46,15.5,17.71,,19.95,2.6,29.66,3.4,23.02,3.6,18.75,4.9,17.43
May 2019,midwest,Illinois,Bloomington,100,22.51,5,49.28,3.7,31.17,2.7,33.55,,,3.3,22.29,1.6,23.16,0.6,36.48,9.8,,1.5,24.8,5.6,38.8,3.7,13.86,2.3,19.14,11.7,11.45,3.2,14.58,1.8,13.58,9.5,18.63,10.7,17.56,0.1,17.38,3.6,24.42,4,21.71,7.5,17.73,6.1,15.07
May 2020,midwest,Illinois,Bloomington,100,27.53,7.6,54.52,6.8,31.76,12.8,48.04,0.8,44.84,0.6,28.84,1.4,22.98,0.6,41.26,7.7,26.33,0.8,26.09,4.9,37.85,2.6,15.38,1.8,26.69,8.9,12.14,3.4,15.4,1.6,15.34,8.9,17.35,13.8,18.58,0.1,17.9,2.4,26.26,3.4,21.24,3.3,18.1,5.8,18.23
May 2019,midwest,Ohio,Canton,100,20.91,3.9,47.08,3.5,30.33,1.3,32.49,1,32.71,0.5,31.44,1.8,20.9,0.6,42.55,6.1,25.98,0.8,21.13,6.9,37.01,5.7,14.01,1.8,18.99,10.5,11.04,3.1,14.13,1.7,12.87,10.3,18.24,12.8,17.49,0.1,15.39,3.7,23.8,4.7,21.68,11,17.66,8.3,15.5
May 2020,midwest,Ohio,Canton,100,21.59,4.1,48.38,3.9,30.29,1.2,32.87,1,35.13,,34.03,1.8,21.37,0.5,42.24,6.1,26.3,0.8,27.15,7.3,37.15,6,14.64,1.6,19.63,9.5,11.55,3.3,14.9,1.5,12.61,9.9,18.45,13,17.87,,,3.6,24.21,4.8,22.59,10.7,18.04,8.9,15.81
May 2019,midwest,Ohio,Carbondale,100,21.55,5.6,40.58,3,29.06,1.2,26.73,0.9,32.62,0.7,26.51,1.7,22.9,0.6,33.66,8.9,27.8,0.9,22.31,9.2,34.8,4.2,14.12,2.6,23.71,11,11.38,2.6,13.74,1.8,13.29,8.4,14.72,14.4,16.93,,,3.7,29.46,4.6,22.2,7,15.82,7,17
May 2020,midwest,Ohio,Carbondale,100,22.8,5,42,3.6,27.75,1.3,29.37,0.8,38.85,0.6,30.62,1.5,24.65,0.5,34.24,8.5,31.46,0.8,21.28,11,36.22,4.5,14.55,2.3,25.98,9.7,11.8,2.7,14.19,1.7,13.14,7.9,15.79,15.4,17.39,,,3.7,29.18,4.8,23.92,6.8,15.83,6.9,17.68
May 2019,midwest,Iowa,Cedar Rapids,100,24.63,6.1,53.4,5.8,32.72,4.9,43.21,2.6,39.93,0.6,31.44,1.7,22.05,0.5,39.39,6.6,22.62,1.4,26.93,4.7,34.06,3.5,15.34,1.5,24.75,7.6,11.93,2.6,15.33,1.7,13.67,9.7,18.29,12.4,19.28,0.1,18.93,4.8,25.45,4.3,25.19,5.8,22,11.1,17.03
May 2020,midwest,Iowa,Cedar Rapids,100,25.65,6.4,53.59,6.2,34.21,5.3,42.73,2.6,40.92,0.5,33.12,1.6,22.67,0.5,35.16,6.6,23.44,1.4,26.08,4.9,34.94,3.5,15.87,1.7,24.64,7,12.46,2.5,15.65,1.7,14.26,9.3,19.42,12.8,19.95,0.1,17.92,4.6,26.24,4.4,25.62,5.9,23.22,10.4,17.64
May 2019,midwest,Illinois,Champaign,100,24.79,6.8,45.33,3.5,32.68,3.4,38.1,1.3,37.15,1.8,29.13,1.7,23.2,0.4,59.55,10.1,32.13,1.4,25.38,6.7,40.07,3.1,15.96,1.4,28.51,10.4,11.87,2.7,14.69,2.1,14.83,8.3,16.88,13.8,19.35,0.2,15.05,3.4,29.6,4.4,22.64,6,19.26,7.3,17.15
May 2020,midwest,Illinois,Champaign,100,25.82,6.9,47.95,4,34.8,3,38.98,1.3,38.12,1.5,31.19,2,24.38,0.4,47.39,10.8,32.45,1.2,25.43,6.5,43.54,3.6,16.26,1.5,27.57,9.3,11.97,2.7,15.08,2,15.12,7.9,17.77,14,20.05,0.3,19.35,3.6,30.75,4.3,22.85,5.9,19.81,7.3,17.85
May 2018,midwest,Illinois,Chicago,100,26.76,7.8,58.2,5.9,37.18,3.2,42.85,1.4,40.45,0.6,34.66,1.4,23.83,0.9,60.36,6.1,27.59,1.3,26.81,5.7,39.54,2.7,15.77,2.6,25.81,8.3,11.98,2.8,15.25,3.1,13.82,9.9,21.56,14.8,19.41,0.1,15.37,3,33.98,3.3,25.04,6.7,18.73,8.4,19.26
May 2019,midwest,Illinois,Chicago,100,27.48,7.8,60.07,6,38.05,3.2,43.81,1.4,41.28,0.7,36.33,1.4,24.68,0.9,61.63,6,27.92,1.4,27.42,5.7,40.09,3.6,15.29,2.5,26.75,8.4,12.49,2.9,15.66,2.1,15.36,9.6,21.96,13.1,20.73,0.1,16.65,3,34.92,3.3,25.58,6.7,19.22,10.2,19.31
May 2020,midwest,Illinois,Chicago,100,29.01,7.8,63.37,6.6,39.53,3.4,45.39,1.4,41.75,0.7,37.98,1.4,25.8,1,60.2,6.1,29.15,1.3,29.12,5.9,41.37,3.7,15.97,2.4,27.64,7.3,12.83,2.8,16.44,1.8,15.8,9.1,23.42,13.5,21.44,0.1,16.93,3.1,35.68,3.5,26.96,6.8,20.22,10.4,20.54
May 2018,midwest,Ohio,Cincinnati,100,24.05,5,56.3,5.8,34.3,3.1,39.52,1.9,39.7,0.8,32.04,1.2,22.29,0.6,50.62,5.6,28.21,1.2,25.17,6.4,37.79,3,15.26,2.2,20.28,9.7,10.99,2.7,13.76,2.9,12.75,9.5,21.15,15.6,18.33,0.1,15,3.5,23.45,3.9,23.6,7.6,19.65,7.8,16.91
